,outlet,url,top_image,title,authors,publish_date,keywords,summary,text
0,timescolonist,http://www.timescolonist.com/news/b-c,https://www.timescolonist.com/polopoly_fs/1.978487.1398105534!/fileImage/httpImage/tc-facebook-logo-156x154.png,B.C.,[],,"['victoria', 'thousands', 'waving', 'street', 'things', 'weve', 'weekend', 'seen', 'bc', 'typical', 'parade']","In a typical year, Monday would have seen thousands of people crowd along Douglas Street for the annual Victoria Day Parade.
This year, because of COVID-19, things will be different: For the first time in 12 decades, the parade has been cancelled — no floats, no marching bands, no waving clowns.
The long weekend doesn’t seem complete without a parade of some kind, though, so we’ve pulled some of our favourite photos from past events from the archives.","In a typical year, Monday would have seen thousands of people crowd along Douglas Street for the annual Victoria Day Parade. This year, because of COVID-19, things will be different: For the first time in 12 decades, the parade has been cancelled — no floats, no marching bands, no waving clowns. The long weekend doesn’t seem complete without a parade of some kind, though, so we’ve pulled some of our favourite photos from past events from the archives."
1,timescolonist,http://www.timescolonist.com/news/national,https://www.timescolonist.com/polopoly_fs/1.978487.1398105534!/fileImage/httpImage/tc-facebook-logo-156x154.png,National,[],,"['library', 'fernwood', 'comes', 'goes', 'tracking', 'bookkeeping', 'national', 'little', 'art']",The art of bookkeeping: Tracking what comes and goes at a little library in Fernwood,The art of bookkeeping: Tracking what comes and goes at a little library in Fernwood
2,timescolonist,http://www.timescolonist.com/news/world,https://www.timescolonist.com/polopoly_fs/1.978487.1398105534!/fileImage/httpImage/tc-facebook-logo-156x154.png,World,[],,"['library', 'fernwood', 'comes', 'goes', 'tracking', 'world', 'bookkeeping', 'little', 'art']",The art of bookkeeping: Tracking what comes and goes at a little library in Fernwood,The art of bookkeeping: Tracking what comes and goes at a little library in Fernwood
3,timescolonist,http://www.timescolonist.com/news/cannabis-news,https://www.timescolonist.com/polopoly_fs/1.978487.1398105534!/fileImage/httpImage/tc-facebook-logo-156x154.png,Cannabis News,[],,"['heat', 'competition', 'market', 'molson', 'cannabis', 'toronto', 'group', 'pot', 'drink', 'coors', 'launches']",TORONTO — Competition in the cannabis beverage market is due to heat up as a company backed by Molson Coors Canada launches a group of pot drink brands over the next few ...,TORONTO — Competition in the cannabis beverage market is due to heat up as a company backed by Molson Coors Canada launches a group of pot drink brands over the next few ...
4,timescolonist,http://www.timescolonist.com/news/local/the-art-of-bookkeeping-tracking-what-comes-and-goes-at-a-little-library-in-fernwood-1.24192490,https://images.glaciermedia.ca/polopoly_fs/1.24192491.1598433770!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_560_292/tc-13483-web-vka-books-7398-jpg.jpg,The art of bookkeeping: Tracking what comes and goes at a little library in Fernwood,['Roxanne Egan-Elliott'],,"['library', 'fernwood', 'comes', 'vhs', 'goes', 'tracking', 'books', 'bookkeeping', 'free', 'little', 'threlfall', 'book', 'left', 'art', 'set', 'greater']","John Threlfall has been keeping close tabs on the 661 books that have come and gone from the little free library he set up in Fernwood in April.
When he set up the Fernwood Re-Public Library, Threlfall said knew he wanted to compile statistics about which books came and went.
“What kind of books get placed in little free libraries?
As a self-described “word nerd” with a house full of books, Threlfall said having people deliver books to the library just outside his home is fabulous and tracking the details has been a fun social experiment.
The Greater Victoria Placemaking Network has created a map identifying the locations of the more than 300 little free libraries in Greater Victoria.","John Threlfall has been keeping close tabs on the 661 books that have come and gone from the little free library he set up in Fernwood in April. That has led to some interesting discoveries.

For example, the most surprising book dropped off was a Russian chiropractic manual in Cyrillic script. It’s also the only book that hasn’t been picked up by someone — but that’s only because it didn’t get a chance. It was shredded one night, with the pieces left in Threlfall’s backyard.

article continues below

“I guess somebody didn’t like the Russian chiropractic manual,” he said.

When he set up the Fernwood Re-Public Library, Threlfall said knew he wanted to compile statistics about which books came and went.

“What kind of books get placed in little free libraries? Who puts them there? From where? How often? Which authors? Questions were many; the answers lay in our library,” he wrote in an online post for the Greater Victoria Placemaking Network.

Threlfall said he assumed it was going to be mostly romance novels, thrillers and “crappy books that nobody wants to read” in the library, which operates on the principle of “leave a book, take a book.”

He was surprised by the quality, variety and the age of the books dropped off, including original publications from the 1920s and 1930s as well as reprints of classic novels, like Charles Dickens’ Great Expectations.

“I don’t think we have yet to receive a romance novel at all,” he said. “And seeing what comes through is pretty fantastic.”

For four months, Threlfall has tracked the comings and goings each morning and evening from the repurposed bedside table. He logs the title, author, genre, dates in and out, whether the public or his family places the book and whether it’s a paperback or hard cover.

Threlfall has also logged some non-book items that have shown up in the library, including a drill bit set, two loaves of bread, three VHS tapes, four squirt guns, five street maps, a pair of prescription glasses and a single Christmas ornament.

He thought the VHS tapes especially would take a while to move, but a 1980 Bruce Lee film called Fist of Fear, Touch of Death, was gone within two days.

“How many people even have a VHS player anymore?”

Some books are only in the library for a matter of minutes, taken almost as soon as he places them. His family has left 266 books and the public has left 395.

In 15 weeks, he’s found fiction outweighs nonfiction (535 to 126), paperbacks exceed hardcovers (520 to 141), and works by women trump those by men (430 to 204).

Mystery books have been most popular, followed by children’s books, literary fiction, thrillers, historical fiction and young adult novels.

A couple of authors, Camilla Lackberg and Ian Rankin, have appeared at least ten times.

A biography of hockey player and coach Pat Quinn spent the longest stint in the library, waiting 32 days to be checked out.

Threlfall, a writer and former journalist, created a diverse summer reading list for himself out of books he found in the library, which inspired him to branch out of his usual non-fiction choices.

As a self-described “word nerd” with a house full of books, Threlfall said having people deliver books to the library just outside his home is fabulous and tracking the details has been a fun social experiment.

“It’s just been a source of constant amusement and fascination,” he said.

The Greater Victoria Placemaking Network has created a map identifying the locations of the more than 300 little free libraries in Greater Victoria.

regan-elliott@timescolonist.com"
5,timescolonist,http://www.timescolonist.com/news/local/obituary-clark-m-clark-victoria-s-living-statue-stood-still-and-moved-us-with-joy-1.24192486,https://images.glaciermedia.ca/polopoly_fs/1.24192489.1598433699!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_560_292/tc-13101-web-rs69844-00078045-jpg.jpg,"Obituary: Clark M. Clark, Victoria’s living statue, stood still and moved us with joy",['Cindy Harnett'],,"['statue', 'young', 'stood', 'living', 'joy', 'victoria', 'white', 'worked', 'father', 'work', 'obituary', 'clark', 'victorias', 'plasterman', 'm', 'moved', 'loved']","Plasterman, the busker who played a white statue and became a fixture on Victoria’s’ Inner Harbour for more than two decades, moved people — without moving.
On Aug. 6, Clark M. Clark, known as the living statue Plasterman, died of a massive heart attack at home in Victoria.
He brought smiles to people’s faces and he’s going to be missed.”Scott McLean Clark was born in Edmonton on April 7, 1963; he legally changed his name to Clark Clark, the way it was once misprinted on a playbill.
“Everyone called him Clark except for me and our dad; it was just too weird,” said brother Allan Clark.
Clark, born to Velma (nee Young) and William Clark, leaves behind his son Daniel, mother Velma, sister Brenda, and brothers Allan and Roger.","Plasterman, the busker who played a white statue and became a fixture on Victoria’s’ Inner Harbour for more than two decades, moved people — without moving.

On Aug. 6, Clark M. Clark, known as the living statue Plasterman, died of a massive heart attack at home in Victoria. He was unaware he had severe coronary disease. He was 57.

article continues below

Daniel Roden Clark, 22, said the essence of his father was being kind, loving and full of joy. “He was uncompromising in his optimism. Even in dark times there was always a light at the end of the tunnel in his view.”

Christopher Loran, who does radio promotions for the Q and The Zone, said just days earlier Clark had brought him a film script he wrote, an improv piece about relationships, and asked Loran if he would work on it with him.

“He was a great ambassador for Victoria,” said Loran. “No one who has walked through Inner Harbour in the last 20 years has not seen Plasterman and noticed him. He brought smiles to people’s faces and he’s going to be missed.”

Scott McLean Clark was born in Edmonton on April 7, 1963; he legally changed his name to Clark Clark, the way it was once misprinted on a playbill. “Everyone called him Clark except for me and our dad; it was just too weird,” said brother Allan Clark.

Clark grew up in Calgary. He studied theatre and education at the University of Alberta in Edmonton and worked various jobs after university.

He spent several years living in Paris and Geneva. He taught yoga, skiied in the Swiss Alps and the Canadian Rockies, and was a strong swimmer.

He married, separated in 2002, divorced in 2006, and had one son.

“As a father he was supportive and intensely proud of my every endeavor,” said Roden Clark. “My parents divorced when I was very young but he made sure that what time I had with him as a child was full of love, laughs and lessons. “

Father and son remained close into adulthood and Clark was able to pass on “the deeper and more meaningful lessons he had learned throughout his life.”

In Victoria, he worked for 15 years as a daycare educator. He was also a children’s entertainer.

In a Times Colonist profile by Jim and Nic Hume, Clark explained his work with children: “They loved stories, and I loved telling them. And I found they really loved stories when I put a bit of acting in — and I loved the telling and the acting.”

Chivonne Graff met Clark in a workshop on “circle time” for early educators. Clark came with a suitcase filled with props.

“I was inspired to put aside my self-consciousness and tap into my playful, child-like side when engaging with children in groups at circle time,” said Graff. “He was one of two outstanding male educators that I have known in 25 years in the field. He had a special presence in this community.”

Throughout the years, Clark acted in local stage and film productions and was an improv coach. He was infected with the acting bug in Grade 6, after playing the lead in a school play.

At age 36, the fan of Charlie Chaplin embarked on becoming an independent entertainer by creating his first living statues with his best-known act evolving into Plasterman.

Clark started out as “that statue guy” wearing white clothes from Value Village, make-up, a white sheet covering a milkcrate to stand on, and a sign reading “Totally Plastered in Victoria.”

That evolved into a character bathed head to toe in thick white fabric paint, resembling plaster, standing motionless on a wooden block. His bald head and shaved eyebrows (which he did for the busking season) added to his stark image.

Standing out in the summer sun all day seemed an odd choice for a man allergic to the sun.

Nevertheless, since 2000, each May to mid-October, he practised his art.

“He loved his work as a human statue,” said Roden Clark. “The happiness and entertainment it brought people meant the world to him.”

Musician Dave Harris, who has busked on the streets of Victoria for 44 years and now plays on Government Street, met Clark about 20 years ago and described him as “very easy to deal with, friendly, warm and kind.”

“He became one of the most loved and busiest buskers; he worked very hard, often six to eight hours a day in the hot sun,” said Harris.

Some would nearly pass Plasterman only to get a scare upon realizing he was human. He might make a sudden move to silence the cheeky youth, maybe a wink or a grin to the curious.

If tourists wanted a photo he would come to life, for a moment, with a smile or a handshake or a hug for a child. He posed with hundreds of people each day. He graciously acknowledged tips. He said in an interview he made enough money to meet his needs.

“Fun story about Plasterman,” said Harris. “I’m playing in one spot, he’s down the way. A woman with her young son come by. She says, ‘Put the coin in the case. He says, ‘I want to give it to Plasterman.’ I laughed so hard.”

Olympic marathoner and coach Bruce Deacon first met Clark in the non-denominational New Life Community Fellowship church with his then young family. Over the years the two kept in touch.

Plasterman was a constant figure in Victoria and that’s why it’s so hard to imagine him gone, said Deacon.

When the City of Victoria began having buskers audition for a prime rotation of spots, Clark and other veterans were grandfathered in.

“He had a way of touching people’s hearts,” said Deacon, noting his comedic timing and his ability to read people were key. “He knew when he should break from his Plasterman pose to give someone a hug or when to show compassion or when to do something funny or silly with someone,” said Deacon. “He was just brilliant that way.”

Clark said he easily adapted to the stillness — he once timed himself at 45 minutes without moving with the exception of a blink — but it took him years to master how to read and respond, or not, to the audience.

Clark, born to Velma (nee Young) and William Clark, leaves behind his son Daniel, mother Velma, sister Brenda, and brothers Allan and Roger. His father died in 2016 at age 92, in Victoria.

ceharnett@timescolonist.com"
6,timescolonist,http://www.timescolonist.com/news/local/surge-of-warnings-about-discarded-uncapped-syringes-needle-in-grass-pokes-teen-s-back-1.24192484,https://images.glaciermedia.ca/polopoly_fs/1.24180372.1596439613!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_292_560/08022020-syringe-rail016835-jpg.jpg,Surge of warnings about discarded uncapped syringes; needle in grass pokes teen’s back,['Louise Dickson'],,"['safe', 'park', 'discarded', 'grass', 'victoria', 'city', 'disposal', 'uncapped', 'warnings', 'needles', 'teens', 'syringes', 'surge', 'boxes', 'pokes', 'needle']","As the opioid crisis deepens, so does the number of warnings about uncapped discarded needles in local parks.
Police don’t know if anyone was injured by the uncapped needle taped to the bench in Centennial Square.
The city also works with Island Health, AVI and other community organizations on harm reduction initiatives and encourages the safe disposal of used syringes, said Eisenhauer.
“The boxes are strategically located in various places across the city to support the safe disposal of sharps by the public.
“As the opioid crisis continues, I understand data from multiple agencies indicates that there has been an increase in the number of unsafely discarded needles over the last few years,” he said.","As the opioid crisis deepens, so does the number of warnings about uncapped discarded needles in local parks.

The mother of a Sooke teenager was first angry, then scared, when her 15-year-old son called to say he was on the way to the Royal Jubilee Hospital after being poked by a needle in Rutledge Park.

article continues below

“I was like ‘What’s happening?’ There are so many people getting hurt by these needles,” said Jayna Forgie, who wrote about what happened in posting to Facebook.

“It’s just scary. My concern is that he would contract something that could be serious. My other concern is that other people are in the park, too. I thought people should be aware. Our kids grew up in that area and played there all the time. I want people to know, if you go out, this happens.”

Her son had been sitting on the grass with a friend, she said. When he went to lie down, the needle poked him in the back.

The needle wasn’t placed to intentionally hurt anyone, it was just discarded, said Forgie.

“It’s a pretty decent neighbourhood so I was pretty surprised. The needle was probably missed in their cleaning routine.”

Her son was examined at the hospital and had a baseline blood test. He will have to have another blood test in three weeks to see if there are any changes.

‘Thank God, it wasn’t a deep puncture,” she said.

Saanich police Const. Markus Anastasiades said police were not notified of the call at the time.

""We are very concerned to hear that this happened and hope that the young man is not facing any serious injuries or health concerns as a result,"" he said.

""Our officers do conduct Park Patrols on a daily basis to ensure compliance with overnight campers. Until this incident, we have not had any recent files involving needles found in parks.""

On Tuesday, Victoria police warned people about an uncapped needle which had been taped to a bench in Centennial Square in a way that would have harmed anyone who sat down.

The uncapped needed was found by a City of Victoria staff member around 10:50 a.m.

On Saturday night, Victoria police issued a warning after a man was pricked by an uncapped needle in Beacon Hill Park. The man told police he was walking on the chip trail in Beacon Hill Park, near Douglas Street and Avalon Road, when he stepped off the path and felt a pain in his foot.

Police don’t know if anyone was injured by the uncapped needle taped to the bench in Centennial Square. They are continuing to investigate. Anyone with information is asked to call the non-emergency line at 250 995-7654 and press 1 for the report desk. To report what you know anonymously, call Greater Victoria Crime Stoppers at 1-800-222-8477.

City staff try to safely collect needles on city property and routinely empty drop boxes for sharps when they collect garbage, said spokesman Bill Eisenhauer. A number of groups, including the Downtown Victoria Business Association Clean Team, Aids Vancouver Island Mobile Harm Reduction Unit, SOLID and others pick up used sharps and have programs to educate and encourage the safe disposal of needles. The city also works with Island Health, AVI and other community organizations on harm reduction initiatives and encourages the safe disposal of used syringes, said Eisenhauer.

City staff, who are trained to sweep for hazards in their work areas, are provided with personal protective equipment to safely dispose of any discarded needles they may come across.There are 29 safe disposal boxes in Victoria which are checked multiple times a week and emptied as needed. Boxes in high-use areas are emptied more frequently.

“The boxes are strategically located in various places across the city to support the safe disposal of sharps by the public. We have recently added additional boxes in Centennial Square, Central Park and Beacon Hill Park,” said Eisenhauer.

The DVBA clean team looks after private property in the downtown business area.

“As the opioid crisis continues, I understand data from multiple agencies indicates that there has been an increase in the number of unsafely discarded needles over the last few years,” he said.

ldickson@timescolonist.com"
7,timescolonist,http://www.timescolonist.com/news/local/sooke-district-reveals-back-to-school-plan-1.24192493,https://images.glaciermedia.ca/polopoly_fs/1.23297275.1537860341!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_560_292/photo-generic-school-zone-sign.jpg,Sooke district reveals back-to-school plan,['Jeff Bell'],,"['backtoschool', 'school', 'learning', 'parents', 'sooke', 'return', 'required', 'plan', 'students', 'secondary', 'groups', 'inclass', 'number', 'reveals', 'district']","The back-to-school plan in the Sooke district will feature a “1/8th model” for secondary students that sees them in school every day for one course.
Learning groups will have recess and lunch together, and possibly physical education.
Learning groups at the secondary level can be up to 120 people.
The district will be prepared to accommodate students and staff wanting in-class learning.
Cendra Beaton, president of the Sooke Parents’ Education Advisory Council, said parents are asking for more flexibility in the return to school.","The back-to-school plan in the Sooke district will feature a “1/8th model” for secondary students that sees them in school every day for one course.

The 1/8th label refers to the fact that students tend to take eight courses throughout the school year..

article continues below

“Not only does the 1/8th model drastically reduce the number of people in a cohort, it also reduces the number of people in school at any given time, thereby limiting the number of people on common spaces,” district superintendent Scott Stinson said in a statement.

Outside of that one class in the morning or afternoon “students will have the remainder of the day for self-directed learning, either at home or on-site where they can receive additional support or access resources,” he said.

Face coverings will be required in high-traffic areas such as hallways and buses.

Schedules will be in place for five weeks at a time.

B.C. school districts are required to give details on their back-to-school plans to the Education Ministry by today.

At the elementary and middle school level, students will return to full-time classes in their own classroom groupings, although two classes can join together to create “learning groups” of up to 60 people. Learning groups will have recess and lunch together, and possibly physical education.

Learning groups at the secondary level can be up to 120 people.

For elementary school, there will be regular school hours and 100 per cent in-class instruction, with staggered start and dismissal times. Face coverings will be optional.

Middle school will also have regular school hours and 100 per cent in-class instruction, with face coverings required in the same way as secondary schools.

The district will be prepared to accommodate students and staff wanting in-class learning.

Cendra Beaton, president of the Sooke Parents’ Education Advisory Council, said parents are asking for more flexibility in the return to school.

“There are absolutely parents that feel it’s a must to send their kids back, there’s parents that are on the fence and there’s parents that don’t feel that it’s safe, given their family circumstances, to send their children back.”

Some parents would like to some sort “hybrid” system, like an “online hub” where teachers are in place to work with students online, Beaton said. She said the month-long return to classes in June featured a hybrid system that worked well.

Sooke School Board chairman Ravi Parmar said that health, safety and student choice are at the foundation of the district’s approach.

“We knew staff and families had questions, so we wanted to implement measures that would build confidence and meet the strong guidelines set by Dr. [Bonnie] Henry and the provincial health office.”

Other steps being taken include:Increased cleaning and disinfectingDesignated entrances and floor markings/signage to control traffic flow.Isolated rooms in case someone falls ill at school.

jwbell@timescolonist.com"
8,timescolonist,http://www.timescolonist.com/news/local/two-new-covid-19-cases-reported-in-island-health-region-58-across-b-c-1.24192385,https://images.glaciermedia.ca/polopoly_fs/1.24192386.1598401085!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_560_292/tc-13759-web-50265439832-a7417ac66a-o-jpg.jpg,"Two new COVID-19 cases reported in Island Health region, 58 across B.C.",[],,"['hospital', 'covid19', 'total', 'fraser', 'island', 'villa', '58', 'region', 'cases', 'health', 'bc', 'reported']","Two new cases of COVID-19 have been confirmed in the Island Health region, bringing the total to date to 168.
The number of new cases reported across B.C.
Six new cases were reported in Island Health between Friday and Monday.
Fifteen of the Island cases are active, but no one is in hospital.
There are two outbreaks of COVID-19 at health-care facilities in the Fraser Health region, one at Bear Creek Villa and the other at Langley Memorial Hospital.","Two new cases of COVID-19 have been confirmed in the Island Health region, bringing the total to date to 168.

The number of new cases reported across B.C. was down significantly Tuesday at 58. An average of 90 new cases a day was reported over the weekend, with an all-time high of 109 new cases recorded between Friday and Saturday. Six new cases were reported in Island Health between Friday and Monday.

article continues below

The province has seen a total of 5,242 infections with 925 active cases of COVID-19, while 4,114 people who tested positive have recovered.

There have been 203 deaths related to the novel coronavirus in B.C.

Fifteen of the Island cases are active, but no one is in hospital. Five deaths have been attributed to the virus in the region, and 148 people have recovered.

There are two outbreaks of COVID-19 at health-care facilities in the Fraser Health region, one at Bear Creek Villa and the other at Langley Memorial Hospital.

Health officials declared an outbreak at the hospital in Langley when a patient tested positive after being discharged Monday and noticed symptoms on returning home.

Dr. Elizabeth Brodkin, Fraser Health’s interim chief medical health officer, says they are working to identify how many people may have been exposed.

She says the hospital has put in place infection prevention and control measures including cleaning and strict personal protective equipment requirements.

On its website, Fraser Health says someone at Bear Creek Villa was diagnosed with COVID-19. It says residents and staff are being screened twice-daily for any signs of the illness.

Vancouver Coastal Health, meanwhile, is asking people who were at the Prive Kitchen and Bar to monitor themselves for potential symptoms of COVID-19. It says people could have been exposed to a possible infection during operating hours on Aug. 3, 6, 7, 8, 15, 16, and 17."
9,timescolonist,http://www.timescolonist.com/news/local/covid-19-alerts-issued-for-westjet-flight-sidney-cafes-b-c-ferries-worker-tests-positive-1.24192372,https://images.glaciermedia.ca/polopoly_fs/1.24192373.1598464005!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_560_292/tc-13687-web-vka-ferries-7380-jpg.jpg,"COVID-19 alerts issued for WestJet flight, Sidney cafes; B.C. Ferries worker tests positive",['Katie Derosa'],,"['covid19', 'employee', 'victoria', 'tested', 'positive', 'bc', 'sidney', 'issued', 'flight', 'ferries', 'aug', 'health', 'cafes', 'worker', 'closed', 'tests', 'westjet']","Ferries said one of their employee tested positive for COVID-19.
Ferries employee tested positive for the virus.
On Tuesday, Island Health issued alerts about two businesses in Sidney after staff members tested positive for COVID-19: Mary’s Bleue Moon Cafe, and 10 Acres Cafe & Market.
On Friday, Chatters Salon Victoria Westshore announced it would be closing over the weekend after a stylist tested positive for COVID-19.
The company asked anyone who visited the store between Aug. 10 and Aug. 14 to call the provincial COVID-19 health line at 811.","Another flight out of Victoria has been added to the B.C. Centre for Disease Control’s list warning about potential COVID-19 exposure.

There was a confirmed COVID-19 case on WestJet flight 196 from Victoria to Calgary on Aug. 14. The centre did not specify which rows were closest to the person with the virus. Passengers are advised to self-monitor for symptoms for 14 days.

article continues below

Alerts about several other potential exposures have been posted recently.

On Tuesday, B.C. Ferries said one of their employee tested positive for COVID-19. Public health officials completed contract tracing with anyone who possibly came in contact with the employee and determined that there were no re-transmissions to other employees or members of the public, said B.C. Ferries spokeswoman Deborah Marshall. Marshall did not disclose where the employee worked or on which route.

Graeme Johnston, president of the B.C. Ferry and Marine Workers’ Union, said in a statement that the union is aware of the potential COVID-19 exposure aboard B.C. Ferries.

“B.C. Ferries and the health authority are working to ensure any possible exposure is traced and isolated,” he said. “We will be keeping close watch on this matter, and wish any involved swift and complete recovery.”

In March, at least one B.C. Ferries employee tested positive for the virus.

As of Monday, masks were required for passengers and staff at all B.C. Ferries terminals and aboard all vessels. Passengers don’t have to wear masks if they are in a vehicle or when they are consuming food or drinks, as long as they are two metres away from others. The rule does not apply to children younger than two, people with underlying medical conditions or a disability that prohibits mask wearing, and people unable to remove their mask without assistance.

B.C. Ferries has also implemented additional cleaning between sailings, screens passengers at ticket booths and requires physical distancing in terminals and on board vessels.

Several Greater Victoria businesses have closed temporarily in the past two weeks after employees tested positive for COVID-19. Between Friday and Saturday, B.C. recorded its highest number of one-day COVID-19 cases since the start of the pandemic, with 109 people testing positive.

On Tuesday, Island Health issued alerts about two businesses in Sidney after staff members tested positive for COVID-19: Mary’s Bleue Moon Cafe, and 10 Acres Cafe & Market.

On its Facebook page, Mary’s Bleue Moon Cafe, located at 9535 Canora Rd., said it was closed Tuesday and had scheduled “deep cleaning and disinfecting.” Anyone who was at the restaurant on Aug. 21 between 4 and 9:15 p.m. or on Aug. 22 between 9:30 a.m. and 3 p.m. or 5 and 10 p.m. is asked to monitor themselves for symptoms.

The infected 10 Acres staff member worked Aug. 20 and 21 from 8 a.m. to 4 p.m. Management said on the restaurant’s Facebook page that there is no crossover between the Sidney location, which is at 9805 Seaport Pl., and the restaurant’s downtown locations, The Commons & 10 Acres Bistro. The cafe and 10 Acres at The Pier restaurant will be closed until at least Wednesday for sanitization.

The risk of exposure is low but anyone at these locations at the specified times is asked to monitor for symptoms. Symptoms may include: fever, chills, cough, shortness of breath, sore throat, runny nose, loss of taste or smell, headache, fatigue, diarrhea, loss of appetite, nausea and vomiting, and muscle aches. There is no need to self-isolate unless you develop symptoms.

There is no known risk to anyone who visited the cafes outside the specified dates and times.

Twist Salon, located at the Bear Mountain Resort in Langford, also shut its doors after one of its stylists tested positive for COVID-19, after being in close contact with another person with the virus. According to a social media post, the salon will be closed until the second week of September as a precautionary measure.

On Friday, Chatters Salon Victoria Westshore announced it would be closing over the weekend after a stylist tested positive for COVID-19. The salon said the stylist hadn’t worked since Aug. 17 and that anyone potentially exposed would be contacted by the health authority.

Milestones Grill and Bar in the Inner Harbour has closed for a deep clean after an employee tested positive on Aug. 20. The restaurant plans to reopen on Aug. 30.

On Aug. 14, 7-Eleven on Douglas Street closed its doors after an employee tested positive for the virus. The company asked anyone who visited the store between Aug. 10 and Aug. 14 to call the provincial COVID-19 health line at 811. The store reopened on Aug. 17.

Provincial health officer Dr. Bonnie Henry said public health teams are tracing and identifying close contacts of people who have tested positive for COVID-19 and providing clear direction on what to do. Advisories are posted by health authorities only when contact tracers can’t find everyone possible exposed to a person with COVID-19.

kderosa@timescolonist.com

— With files from Cindy E. Harnett"
